ABC1D23,2026-08-29T08:00:00,2026-08-29T11:00:00,25,0,25
DEF2E34,2026-08-29T09:00:00,2026-08-29T17:00:00,25,0,25
JKL4G56,2026-08-30T07:00:00,2026-08-30T18:00:00,0,0,0
GHI3F45,2026-08-31T08:00:00,2026-08-31T17:00:00,0,0,0
STU7J89,2026-08-29T10:00:00,2026-08-29T18:00:00,20,0,20
VWX8K90,2026-08-30T20:00:00,2026-08-31T08:00:00,70,0,70
NOP5Q67,2026-09-01T07:30:00,2026-09-01T13:00:00,25,0,25
QRS6R78,2026-09-01T08:00:00,2026-09-01T17:00:00,0,0,0
BCD1M23,2026-09-01T21:00:00,2026-09-02T08:00:00,70,0,70
ABC1D23,2026-09-02T08:30:00,2026-09-02T12:00:00,25,0,25
AVU1A23,2026-08-30T10:00:00,2026-08-30T12:00:00,20,0,20
AVU1A23,2026-09-01T10:00:00,2026-09-01T12:00:00,20,0,20
AVU1A23,2026-09-03T10:00:00,2026-09-03T12:00:00,20,4,16
AVU1A23,2026-09-04T10:00:00,2026-09-04T12:00:00,20,4,16
AVU2B34,2026-09-03T08:00:00,2026-09-03T15:00:00,50,0,50
AVU8B88,2026-09-04T14:00:00,2026-09-04T16:00:00,20,0,0
AVU9A99,2026-09-04T17:00:00,2026-09-04T18:00:00,10,0,10
